ID,Start Date,End Date,Category,Currency,Goal,Status
1829,5/25/2014,6/8/2014,Publishing,USD,5000,Failed
1830,5/15/2014,6/4/2014,Arts & Creative,USD,20000,Failed
1831,1/28/2014,2/27/2014,Design,USD,2500,Failed
1832,5/6/2014,6/6/2014,Games,AUD,20000,Failed
1833,30-Nov-14,,Faith & Religion,U.S. Dollar,500,Success
1834,3/18/2014,4/17/2014,Publishing,USD,1700,Success
1835,3/27/2014,4/23/2014,Film & Video,USD,3500,Success
1836,25-Jun-17,,Family & Kids,U.S. Dollar,3500,Failed
1837,1/21/2014,3/15/2014,Journalism,USD,50000,Failed
1838,12/23/2013,1/26/2014,Music,USD,900,Success
1839,29-Jun-16,,Family & Kids,U.S. Dollar,1100,Success
1840,4/21/2014,5/24/2014,Food,USD,4000,Failed
1841,7-May-14,,Celebrations and Weddings,Pound Sterling,200,Failed
1842,2/21/2014,4/4/2014,Music,USD,3141,Success
1843,4/30/2014,5/30/2014,Film & Video,USD,9500,Success
1844,7-Apr-15,,Business,Norwegian Krone,8000,Failed
1845,3/10/2014,4/4/2014,Film & Video,GBP,700,Failed
1846,4/29/2014,6/13/2014,Games,USD,25500,Success
1847,1/21/2014,2/20/2014,Photography,AUD,5000,Failed
1848,1/11/2014,2/2/2014,Arts & Creative,USD,500,Success
1849,5/13/2014,4/4/2014,Food,USD,25000,Success
1850,1/13/2014,2/15/2014,Music,USD,2500,Failed
1851,12/27/2013,1/23/2014,Film & Video,USD,3200,Failed
1852,4/4/2014,5/4/2014,Games,USD,250000,Failed
1853,2/23/2014,3/9/2014,Games,USD,1250,Success
1854,12/17/2013,1/16/2014,Games,USD,5000,Failed
1855,11-Apr-17,,Family & Kids,Philippine Peso,50000,Success
1856,23-Aug-18,"Sep 16, 2018

					,

				",Non-profits & Charity,U.S. Dollar,1000,Failed
1857,3/18/2014,4/18/2014,Design,USD,140000,Failed
1858,2/4/2014,3/3/2014,Theater,USD,8000,Success
1859,4/29/2014,5/29/2014,Fashion,AUD,2500,Failed
1860,6-Mar-16,,Faith & Religion,U.S. Dollar,1200,Failed
1861,5/1/2014,5/30/2014,Games,USD,440,Success
1862,29-Aug-15,,Accidents & Disasters,U.S. Dollar,1000,Failed
1863,2/12/2014,3/5/2014,Film & Video,USD,12300,Success
1864,1/9/2014,2/8/2014,Design,GBP,600,Failed
1865,5/1/2014,6/1/2014,Film & Video,USD,170000,Failed
1866,2/2/2014,3/4/2014,Fashion,USD,3500,Success
1867,4/22/2014,5/12/2014,Crafts,GBP,250,Failed
1868,4/23/2014,5/23/2014,Design,USD,1000,Success
1869,5/13/2014,6/12/2014,Theater,USD,10000,Success
1870,4/23/2014,5/23/2014,Arts & Creative,AUD,5000,Failed
1871,3/11/2014,4/10/2014,Music,USD,12500,Failed
1872,15-May-16,,Arts & Creative,U.S. Dollar,6500,Failed
1873,2/22/2014,4/23/2014,Arts & Creative,USD,3000,Failed
1874,4/4/2014,5/13/2014,Music,USD,6500,Success
1875,3/7/2014,4/6/2014,Fashion,USD,5000,Failed
1876,24-Nov-17,,"Health, Illness or Medical",U.S. Dollar,499,Failed
1877,4/10/2014,5/11/2014,Arts & Creative,USD,5000,Success
1878,2/27/2014,3/29/2014,Design,GBP,700,Success
1879,4/21/2014,5/21/2014,Technology,USD,200,Success
1880,24-Oct-16,,Arts & Creative,Pound Sterling,20000,Success
1881,21-Jun-17,,Legal,U.S. Dollar,5000,Failed
1882,12/24/2013,1/18/2014,Food,USD,30000,Failed
1883,29-Apr-18,,Animals & Humane,U.S. Dollar,4400,Failed
1884,26-Jan-15,,Veterans & Heroes,U.S. Dollar,3000,Failed
1885,25-Jun-14,,Celebrations and Weddings,U.S. Dollar,560,Success
1886,1/12/2014,2/11/2014,Publishing,GBP,2200,Failed
1887,6/13/2014,6/21/2014,Journalism,GBP,200,Success
1888,4/8/2014,5/8/2014,Technology,USD,60000,Failed
1889,4/8/2014,5/25/2014,Film & Video,USD,200000,Failed
1890,2/21/2014,3/23/2014,Design,USD,5000,Failed
1891,2/7/2014,3/10/2014,Film & Video,GBP,400,Success
1892,2/1/2014,4/2/2014,Publishing,USD,13000,Failed
1893,12/31/2013,1/30/2014,Film & Video,GBP,1500,Success
1894,4/29/2014,6/13/2014,Film & Video,USD,7500,Success
1895,2/28/2014,3/30/2014,Publishing,USD,5000,Success
1896,12/18/2013,1/17/2014,Arts & Creative,USD,7000,Failed
1897,4/25/2014,5/10/2014,Publishing,USD,600,Success
1898,1/7/2014,2/11/2014,Film & Video,CAD,4300,Success
1899,1/22/2014,2/17/2014,Arts & Creative,USD,2000,Success
1900,4/29/2014,5/29/2014,Technology,USD,35000,Failed
1901,2/7/2014,2/26/2014,Food,USD,8000,Failed
1902,3/11/2014,4/10/2014,Film & Video,USD,15000,Success
1903,2/26/2014,4/27/2014,Film & Video,GBP,5000,Failed
1904,3/11/2014,4/10/2014,Design,USD,100000,Success
1905,10-Aug-18,"Sep 16, 2018

					,

				",Non-profits & Charity,U.S. Dollar,1000,Failed
1906,3/4/2014,4/3/2014,Technology,GBP,4400,Failed
1907,5/23/2014,6/21/2014,Film & Video,USD,2000,Success
1908,27-Jun-16,,Family & Kids,Canadian Dollar,500,Success
1909,13-Jan-13,,Sports & Competitions,U.S. Dollar,50000,Failed
1910,12/30/2013,1/31/2014,Film & Video,USD,902,Success
1911,2/25/2014,3/24/2014,Theater,USD,18000,Success
1912,4/16/2014,6/15/2014,Food,USD,65000,Failed
1913,2/3/2014,2/17/2014,Film & Video,USD,12000,Failed
1914,12/27/2013,1/26/2014,Arts & Creative,USD,11999,Success
1915,5/17/2014,6/17/2014,Music,GBP,1500,Failed
1916,3/10/2014,4/9/2014,Food,USD,15000,Failed
1917,4/6/2014,5/6/2014,Film & Video,CAD,100000,Failed
1918,4-Nov-15,,Sports & Competitions,U.S. Dollar,500,Failed
1919,16-Nov-15,,Memorials & Funerals,U.S. Dollar,1000,Success
1920,1/7/2014,1/27/2014,Crafts,USD,400,Success
1921,11-Jul-18,"Aug 26, 2018

					,

				",Non-profits & Charity,U.S. Dollar,1000,Failed
1922,4/23/2014,5/28/2014,Music,USD,500,Success
1923,11-Mar-16,,Arts & Creative,U.S. Dollar,1000,Failed
1924,3/28/2014,5/1/2014,Theater,USD,3000,Success
1925,3/6/2014,3/20/2014,Food,USD,10000,Success
1926,7-Jul-15,,Accidents & Disasters,U.S. Dollar,10000,Failed
1927,12/27/2013,1/26/2014,Publishing,USD,14000,Failed
1928,2/28/2014,4/1/2014,Publishing,USD,7000,Failed
1929,1/28/2014,2/27/2014,Arts & Creative,USD,18000,Failed
1930,6-Jan-16,,Travel,Canadian Dollar,8000,Failed
1931,2/9/2014,3/10/2014,Games,USD,3500,Success
1932,6/9/2014,6/19/2014,Fashion,GBP,550,Failed
1933,3/27/2014,4/26/2014,Film & Video,USD,5000,Success
1934,3/7/2014,3/28/2014,Technology,USD,5200,Failed
1935,12/23/2013,1/22/2014,Food,USD,15000,Failed
1936,23-Jan-16,,Family & Kids,U.S. Dollar,1000,Failed
1937,2/12/2014,3/14/2014,Publishing,USD,5750,Success
1938,5/31/2014,6/16/2014,Arts & Creative,USD,500,Success
1939,1/12/2014,2/11/2014,Fashion,USD,75000,Failed
1940,23-Jun-13,,Veterans & Heroes,U.S. Dollar,5000,Failed
1941,3/28/2014,4/27/2014,Music,USD,3000,Success
1942,11-May-17,,Arts & Creative,Euro,10500,Failed
1943,3-May-12,,Veterans & Heroes,U.S. Dollar,500,Failed
1944,3/19/2014,3/26/2014,Food,USD,5000,Failed
1945,4/2/2014,4/17/2014,Fashion,GBP,150,Success
1946,2/27/2014,3/29/2014,Games,USD,1000,Success
1947,3/17/2014,4/16/2014,Film & Video,USD,4500,Failed
1948,2/26/2014,3/12/2014,Music,USD,1000,Success
1949,2/4/2014,3/6/2014,Fashion,USD,2700,Success
1950,1/31/2014,2/14/2014,Publishing,USD,2500,Failed
1951,31-Jan-18,,"Health, Illness or Medical",U.S. Dollar,429,Success
1952,1/2/2014,2/1/2014,Fashion,USD,2000,Failed
1953,4/5/2014,4/10/2014,Arts & Creative,USD,550,Success
1954,1/16/2014,2/28/2014,Publishing,GBP,18878,Failed
1955,1/27/2014,2/26/2014,Crafts,USD,38847,Failed
1956,1/14/2014,2/7/2014,Publishing,USD,4602,Success
1957,2/14/2014,3/17/2014,Games,USD,7000,Failed
1958,4-Mar-17,,Legal,U.S. Dollar,12000,Failed
1959,12/24/2013,2/7/2014,Music,USD,5000,Success
1960,12/18/2013,2/16/2014,Music,USD,55000,Failed
1961,6/7/2014,6/13/2014,Publishing,USD,2200,Failed
1962,20-Jan-16,,Sports & Competitions,U.S. Dollar,1500,Success
1963,2/11/2014,3/16/2014,Photography,USD,8500,Success
1964,4/9/2014,4/24/2014,Technology,USD,400,Success
1965,1/22/2014,2/21/2014,Publishing,USD,4000,Failed
1966,1/28/2014,3/1/2014,Music,USD,4000,Success
1967,2/22/2014,3/24/2014,Food,USD,22500,Failed
1968,14-Aug-16,,Celebrations and Weddings,U.S. Dollar,200,Failed
1969,24-Oct-16,,Legal,U.S. Dollar,5000,Failed
1970,25-Jun-18,,Animals & Humane,Euro,1000,Failed
1971,8-Nov-16,,Business,U.S. Dollar,2000,Failed
1972,1/7/2014,2/10/2014,Publishing,USD,35000,Success
1973,14-Jul-16,,Arts & Creative,U.S. Dollar,5000,Failed
1974,1/6/2014,2/5/2014,Music,USD,2500,Success
1975,2/6/2014,3/18/2014,Fashion,AUD,31000,Success
1976,2/11/2014,3/23/2014,Games,USD,5000,Failed
1977,1/11/2014,2/15/2014,Music,USD,12000,Failed
1978,3/10/2014,4/9/2014,Food,USD,2500,Failed
1979,21-May-18,,Community & Volunteer,U.S. Dollar,500,Success
1980,12/30/2013,1/29/2014,Publishing,CAD,3500,Failed
1981,2/12/2014,3/19/2014,Arts & Creative,USD,60000,Success
1982,3-Jun-17,,Animals & Humane,U.S. Dollar,855,Failed
1983,3/19/2014,4/12/2014,Film & Video,GBP,500,Success
1984,4/9/2014,5/10/2014,Fashion,USD,1500,Failed
1985,1/14/2014,2/28/2014,Music,USD,2800,Failed
1986,16-Apr-15,,Memorials & Funerals,Pound Sterling,4000,Failed
1987,5/14/2014,6/5/2014,Design,GBP,10000,Failed
1988,3/31/2014,4/30/2014,Games,USD,25000,Failed
1989,12/19/2013,1/18/2014,Film & Video,USD,5000,Success
1990,29-Aug-17,"Jan 1, 2019

					,

				",Sports & Competitions,Euro,2500,Failed
1991,15-Aug-18,"Nov 4, 2018

					,

				",Non-profits & Charity,U.S. Dollar,1000,Failed
1992,2/21/2014,3/22/2014,Film & Video,USD,2000,Failed
1993,1/28/2014,2/27/2014,Music,USD,5000,Success
1994,4/1/2014,5/16/2014,Technology,USD,50000,Failed
1995,4/15/2014,5/15/2014,Film & Video,USD,10000,Success
1996,3/10/2014,4/9/2014,Music,USD,800,Failed
1997,12/24/2013,2/22/2014,Film & Video,USD,4100,Failed
1998,16-Jan-18,,Community & Volunteer,U.S. Dollar,1000,Success
1999,3/31/2014,4/30/2014,Music,USD,3000,Failed
2000,3/11/2014,4/1/2014,Food,USD,1500,Success
2001,5/13/2014,3/5/2014,Music,USD,6700,Success
2002,1/16/2014,2/15/2014,Fashion,USD,1000,Failed
2003,4/14/2014,5/7/2014,Theater,USD,12500,Success
2004,12/27/2013,2/10/2014,Food,USD,5500,Success
2005,3/9/2014,4/13/2014,Design,USD,24500,Success
2006,2/21/2014,3/23/2014,Fashion,USD,20000,Failed
2007,5/29/2014,6/18/2014,Publishing,AUD,1000,Success
2008,12/17/2013,12/27/2013,Games,USD,1000,Success
2009,18-Apr-16,,Arts & Creative,U.S. Dollar,1600,Failed
2010,2/19/2014,4/20/2014,Fashion,USD,3000,Failed
2011,1/31/2014,3/2/2014,Film & Video,USD,3000,Success
2012,1/10/2014,2/9/2014,Games,GBP,200,Failed
2013,3/10/2014,4/9/2014,Arts & Creative,CAD,750,Success
2014,24-Jul-17,,Business,U.S. Dollar,15000,Failed
2015,2-Mar-16,,Legal,U.S. Dollar,10000,Failed
2016,2/2/2014,2/12/2014,Film & Video,USD,3500,Success
2017,4/23/2014,5/23/2014,Film & Video,USD,5000,Success
2018,8-Aug-12,,Alumni & Clubs,U.S. Dollar,2000,Failed
2019,3/21/2014,4/14/2014,Music,USD,3500,Success
2020,2/6/2014,3/13/2014,Design,GBP,10000,Success
2021,1/31/2014,3/12/2014,Technology,USD,50000,Failed
2022,3/5/2014,4/4/2014,Technology,USD,20000,Failed
2023,11-Dec-15,,Sports & Competitions,U.S. Dollar,1000,Failed
2024,26-Feb-18,,Community & Volunteer,U.S. Dollar,5000,Failed
2025,1/28/2014,2/27/2014,Publishing,USD,3000,Success
2026,2/5/2014,3/5/2014,Arts & Creative,USD,600,Success
2027,2/5/2014,3/7/2014,Fashion,USD,15000,Success
2028,3/7/2014,5/6/2014,Arts & Creative,USD,4000,Failed
2029,6/14/2014,3/4/2014,Music,USD,1500,Failed
2030,4/5/2014,5/15/2014,Games,USD,14000,Success
2031,14-Sep-16,,Legal,U.S. Dollar,10000,Success
2032,8-Jan-17,,Education & Schools,U.S. Dollar,6000,Failed
2033,11-Jun-15,,Celebrations and Weddings,U.S. Dollar,600,Failed
2034,4/28/2014,6/7/2014,Music,GBP,1350,Success
2035,3/15/2014,4/14/2014,Games,USD,3000,Success
2036,2/19/2014,3/21/2014,Film & Video,USD,6000,Failed
2037,4/29/2014,5/31/2014,Fashion,AUD,2000,Success
2038,4/11/2014,5/11/2014,Games,USD,50000,Failed
2039,1/22/2014,2/16/2014,Publishing,USD,1500,Success
2040,17-Jul-15,,Travel,U.S. Dollar,400,Failed
2041,2/1/2014,3/18/2014,Food,USD,6250,Success
2042,2/16/2014,4/17/2014,Music,USD,100000,Failed
2043,3/5/2014,4/4/2014,Film & Video,USD,30000,Failed
2044,6-Mar-12,,Veterans & Heroes,U.S. Dollar,2000,Failed
2045,4/1/2014,4/11/2014,Fashion,USD,3500,Success
2046,11-Apr-18,,"Health, Illness or Medical",U.S. Dollar,349,Success
2047,2/11/2014,3/13/2014,Arts & Creative,GBP,800,Failed
2048,27-Mar-14,,Travel,U.S. Dollar,2000,Failed
2049,5/10/2014,6/11/2014,Music,USD,55600,Failed
2050,4/10/2014,5/10/2014,Publishing,USD,5000,Failed
2051,1/14/2014,2/13/2014,Publishing,USD,6500,Success
2052,3/11/2014,4/10/2014,Music,USD,10000,Success
2053,5/5/2014,6/7/2014,Film & Video,USD,12000,Success
2054,3/26/2014,4/23/2014,Food,GBP,24000,Failed
2055,4/24/2014,5/31/2014,Publishing,USD,2600,Success
2056,3/26/2014,5/25/2014,Music,USD,40000,Success
2057,5/22/2014,6/20/2014,Publishing,USD,9500,Failed
2058,3/12/2014,4/11/2014,Film & Video,GBP,12000,Success
2059,3/19/2014,4/1/2014,Fashion,USD,350,Failed
2060,3-Nov-14,,Travel,U.S. Dollar,1100,Failed
2061,12/21/2013,1/20/2014,Technology,USD,25000,Failed
2062,3/4/2014,4/3/2014,Design,USD,750000,Failed
2063,4/9/2014,5/9/2014,Publishing,USD,3500,Success
2064,7-Nov-14,,Faith & Religion,U.S. Dollar,2000,Failed
2065,1/22/2014,2/24/2014,Publishing,CAD,5500,Failed
2066,30-Sep-16,,Family & Kids,U.S. Dollar,50000,Failed
2067,1/1/2014,1/31/2014,Music,USD,6000,Success
2068,12/15/2013,1/26/2014,Design,GBP,25000,Success
2069,2/11/2014,3/30/2014,Film & Video,USD,20000,Failed
2070,1/16/2014,2/15/2014,Food,USD,2500,Success
2071,2/24/2014,3/26/2014,Fashion,USD,30000,Failed
2072,8-Aug-18,"Oct 2, 2018

					,

				",Non-profits & Charity,Canadian Dollar,5000,Failed
2073,5/19/2014,6/18/2014,Arts & Creative,GBP,1850,Success
2074,5/1/2014,5/31/2014,Theater,USD,40000,Failed
2075,2/3/2014,3/5/2014,Arts & Creative,USD,15000,Failed
2076,5/17/2014,6/16/2014,Arts & Creative,USD,600,Failed
2077,2/3/2014,3/5/2014,Fashion,USD,13000,Success
2078,11-Jul-18,,Legal,U.S. Dollar,5000,Failed
2079,1/24/2014,3/25/2014,Arts & Creative,USD,30000,Failed
2080,3/24/2014,4/23/2014,Publishing,CAD,10000,Failed
2081,3/15/2014,5/14/2014,Film & Video,USD,8250,Failed
2082,10-Jul-18,,Education & Schools,U.S. Dollar,1200,Failed
2083,12/25/2013,1/24/2014,Film & Video,USD,1200,Failed
2084,1/28/2014,2/27/2014,Photography,USD,4500,Success
2085,4/10/2014,5/5/2014,Theater,USD,5000,Success
2086,2/3/2014,3/20/2014,Fashion,USD,12500,Success
2087,12/19/2013,2/7/2014,Publishing,USD,10000,Failed
2088,5/19/2014,5/30/2014,Arts & Creative,USD,5500,Failed
2089,5/14/2014,5/24/2014,Crafts,USD,10000,Success
2090,1/30/2014,3/1/2014,Technology,USD,6000,Failed
2091,3/3/2014,4/2/2014,Design,USD,19000,Failed
2092,1/8/2014,2/7/2014,Arts & Creative,USD,38000,Success
2093,5/3/2014,6/2/2014,Dance,USD,3500,Success
2094,5/6/2014,6/4/2014,Film & Video,USD,6000,Success
2095,14-Jun-17,,Non-profits & Charity,U.S. Dollar,1800000,Failed
2096,4/3/2014,5/3/2014,Film & Video,USD,15000,Failed
2097,31-Jan-13,,Veterans & Heroes,U.S. Dollar,15000,Failed
2098,3/19/2014,4/18/2014,Arts & Creative,USD,2500,Success
2099,3/30/2014,4/29/2014,Games,USD,7500,Success
2100,31-May-17,,Family & Kids,U.S. Dollar,8400,Failed
2101,11-Aug-16,,Accidents & Disasters,Euro,1000,Failed
2102,9-Aug-13,,Veterans & Heroes,U.S. Dollar,3000,Failed
2103,30-Nov-17,,Community & Volunteer,Pound Sterling,2000,Failed
2104,1/10/2014,2/11/2014,Food,USD,35000,Failed
2105,3/21/2014,4/20/2014,Games,CAD,8000,Success
2106,4/8/2014,5/8/2014,Film & Video,USD,1000,Failed
2107,1/21/2014,2/20/2014,Publishing,USD,20000,Failed
2108,2/21/2014,4/12/2014,Technology,CAD,25000,Failed
2109,19-Mar-15,,Memorials & Funerals,Pound Sterling,500,Failed
2110,5/9/2014,6/10/2014,Film & Video,GBP,1999,Failed
2111,5/2/2014,5/31/2014,Music,USD,3500,Success
2112,4/16/2014,5/16/2014,Theater,USD,5300,Success
2113,3/3/2014,4/2/2014,Photography,USD,1500,Failed
2114,4/24/2014,5/24/2014,Arts & Creative,GBP,3000,Success
2115,4-Sep-16,,Family & Kids,U.S. Dollar,15000,Failed
2116,3/12/2014,4/16/2014,Publishing,USD,22000,Failed
2117,4/15/2014,5/5/2014,Music,USD,1750,Success
2118,2/5/2014,2/27/2014,Film & Video,USD,2000,Success
2119,3/4/2014,3/19/2014,Publishing,USD,6120,Success
2120,1/10/2014,2/9/2014,Photography,USD,10000,Failed
2121,3/24/2014,4/23/2014,Film & Video,USD,1200,Success
2122,3/14/2014,4/13/2014,Design,USD,3200,Success
2123,3/17/2014,4/16/2014,Theater,USD,600,Success
2124,5/3/2014,6/2/2014,Dance,USD,5000,Failed
2125,17-May-15,,Accidents & Disasters,U.S. Dollar,2000,Failed
2126,4/14/2014,5/14/2014,Film & Video,USD,1500,Success
2127,5/10/2014,6/14/2014,Music,USD,6000,Success
2128,3/11/2014,4/9/2014,Film & Video,USD,1500000,Failed
2129,12/27/2013,2/25/2014,Publishing,USD,9000,Failed
2130,5/7/2014,6/9/2014,Photography,AUD,3000,Success
2131,4/21/2014,5/23/2014,Music,USD,8400,Success
2132,2/7/2014,3/16/2014,Music,USD,5000,Failed
2133,1/30/2014,3/2/2014,Design,USD,3000,Success
2134,3/31/2014,4/30/2014,Theater,USD,3000,Success
2135,16-Jan-16,,Veterans & Heroes,Euro,2000,Failed
2136,3/10/2014,4/9/2014,Publishing,USD,5000,Failed
2137,2/7/2014,3/21/2014,Design,USD,62000,Failed
2138,3/18/2014,4/17/2014,Film & Video,USD,5000,Success
2139,5/23/2014,6/21/2014,Film & Video,USD,7000,Success
2140,5/6/2014,5/10/2014,Film & Video,GBP,35000,Failed
2141,1/31/2014,3/2/2014,Food,USD,15000,Success
2142,20-Aug-18,"Oct 20, 2018

					,

				",Non-profits & Charity,U.S. Dollar,1000,Failed
2143,13-May-18,,"Health, Illness or Medical",U.S. Dollar,2000,Success
2144,5/27/2014,6/25/2014,Food,USD,12450,Success
2145,4/15/2014,5/15/2014,Dance,USD,6000,Success
2146,4/16/2014,5/16/2014,Fashion,GBP,4000,Failed
2147,3/4/2014,3/23/2014,Film & Video,USD,350,Success
2148,1/31/2014,3/1/2014,Crafts,GBP,500,Failed
2149,5/22/2014,6/21/2014,Music,USD,7895,Success
2150,13-Feb-17,,Legal,U.S. Dollar,100000,Failed
2151,5/8/2014,4/4/2014,Film & Video,USD,3500,Success
2152,12-Jul-16,,Veterans & Heroes,U.S. Dollar,5000,Failed
2153,5/20/2014,6/24/2014,Film & Video,USD,500,Success
2154,28-Nov-12,,Animals & Humane,U.S. Dollar,10000,Failed
2155,6/3/2014,6/21/2014,Publishing,USD,300,Success
2156,15-Feb-15,,Travel,Canadian Dollar,7000,Failed
2157,1/29/2014,3/10/2014,Arts & Creative,USD,6000,Failed
2158,5/5/2014,6/4/2014,Food,USD,50000,Failed
2159,5-May-16,,Sports & Competitions,U.S. Dollar,220,Failed
2160,1/28/2014,2/27/2014,Arts & Creative,USD,3000,Failed
2161,3/1/2014,4/10/2014,Design,USD,60000,Success
2162,3/4/2014,4/3/2014,Technology,USD,6388,Failed
2163,2/13/2014,3/15/2014,Film & Video,USD,8000,Success
2164,4-Apr-16,,Sports & Competitions,U.S. Dollar,800,Failed
2165,2-Oct-14,,Faith & Religion,U.S. Dollar,1800,Failed
2166,5/13/2014,5/31/2014,Food,USD,2500,Success
2167,2/21/2014,3/23/2014,Games,USD,25000,Success
2168,3/27/2014,4/26/2014,Music,USD,8000,Failed
2169,26-Jun-16,,Arts & Creative,Canadian Dollar,8000,Success
2170,3/18/2014,4/17/2014,Games,GBP,15000,Success
2171,2/17/2014,3/21/2014,Fashion,USD,10000,Success
2172,17-Aug-18,"Aug 26, 2018

					,

				",Non-profits & Charity,U.S. Dollar,1000,Success
2173,4/2/2014,5/2/2014,Arts & Creative,USD,11100,Success
2174,4/4/2014,5/4/2014,Film & Video,USD,3000,Success
2175,2/14/2014,3/1/2014,Publishing,USD,750,Failed
2176,3/6/2014,4/5/2014,Fashion,USD,2000,Failed
2177,5/25/2014,6/24/2014,Film & Video,USD,10000,Success
2178,3/24/2014,4/23/2014,Games,USD,8000,Failed
2179,12/15/2013,1/17/2014,Film & Video,USD,3000,Failed
2180,4/16/2014,6/5/2014,Publishing,GBP,800,Failed
2181,12/17/2013,1/16/2014,Music,USD,6500,Failed
2182,5/14/2014,6/16/2014,Food,USD,1000,Success
2183,4/15/2014,6/14/2014,Design,USD,4000,Success
2184,3/17/2014,4/16/2014,Design,USD,3000,Failed
2185,3/3/2014,4/2/2014,Games,USD,15000,Failed
2186,3/6/2014,4/7/2014,Music,USD,4500,Success
2187,2/21/2014,3/23/2014,Food,USD,35000,Failed
2188,21-Mar-17,,Legal,U.S. Dollar,1000,Failed
2189,9-Oct-15,,Sports & Competitions,Canadian Dollar,40000,Failed
2190,5/28/2014,6/24/2014,Film & Video,USD,1000,Failed
2191,2/11/2014,3/13/2014,Publishing,USD,5000,Failed
2192,2/24/2014,3/26/2014,Theater,USD,1000,Success
2193,2/26/2014,3/20/2014,Photography,USD,750,Success
2194,5/30/2014,6/16/2014,Music,USD,2500,Failed
2195,3/28/2014,5/12/2014,Crafts,USD,600,Failed
2196,1/1/2014,2/17/2014,Games,CAD,6500,Success
2197,1/1/2014,1/31/2014,Design,USD,7500,Success
2198,11-Dec-16,,Sports & Competitions,U.S. Dollar,600,Failed
2199,20-Oct-17,,Education & Schools,U.S. Dollar,1000,Failed
2200,5/7/2014,6/8/2014,Film & Video,USD,1600,Success
2201,1/14/2014,2/13/2014,Film & Video,USD,2000,Failed
2202,3/18/2014,4/22/2014,Games,USD,12000,Success
2203,2/28/2014,3/30/2014,Music,USD,500,Success
2204,2/6/2014,3/8/2014,Food,GBP,3500,Failed
2205,1/18/2014,2/17/2014,Publishing,GBP,3000,Success
2206,4/8/2014,6/7/2014,Film & Video,USD,15000,Success
2207,5/9/2014,6/9/2014,Arts & Creative,USD,10000,Success
2208,4/4/2014,5/6/2014,Theater,USD,3500,Success
2209,1/23/2014,2/22/2014,Fashion,USD,2000,Success
2210,4/4/2014,4/30/2014,Games,USD,24250,Failed
2211,3/3/2014,4/8/2014,Arts & Creative,USD,3000,Success
2212,5/12/2014,6/11/2014,Film & Video,USD,3000,Success
2213,3/18/2014,5/1/2014,Dance,USD,3250,Success
2214,3/19/2014,5/18/2014,Film & Video,GBP,20000,Failed
2215,1/21/2014,2/20/2014,Games,AUD,19712,Failed
2216,2-Feb-18,,Community & Volunteer,U.S. Dollar,2500,Failed
2217,5/15/2014,6/14/2014,Film & Video,NZD,5000,Success
2218,2/6/2014,3/8/2014,Games,USD,800,Failed
2219,5/2/2014,5/16/2014,Technology,GBP,500,Failed
2220,7-Feb-18,,Arts & Creative,U.S. Dollar,1000,Failed
2221,4/2/2014,5/12/2014,Arts & Creative,USD,1000,Success
2222,2/3/2014,2/24/2014,Publishing,USD,300,Success
2223,2/10/2014,4/11/2014,Music,GBP,800,Success
2224,9-Apr-18,,Community & Volunteer,U.S. Dollar,2500,Failed
2225,16-Aug-13,,Legal,U.S. Dollar,5000,Failed
2226,5/6/2014,6/6/2014,Theater,USD,2000,Failed
2227,13-Nov-15,,Memorials & Funerals,Pound Sterling,2500,Failed
2228,5/16/2014,6/16/2014,Publishing,USD,5000,Success
2229,12/27/2013,1/26/2014,Music,USD,1000,Success
2230,3/4/2014,3/26/2014,Music,USD,8800,Success
2231,27-Jun-18,,Community & Volunteer,U.S. Dollar,1500,Failed
2232,19-Mar-16,,Legal,U.S. Dollar,7000,Failed
2233,26-Sep-13,,Legal,U.S. Dollar,20000,Failed
2234,24-Aug-16,,Veterans & Heroes,U.S. Dollar,5000,Failed
2235,31-Jan-16,,Faith & Religion,Canadian Dollar,2000,Failed
2236,9-Jul-18,,Animals & Humane,U.S. Dollar,380,Failed
2237,3/26/2014,5/1/2014,Music,USD,2500,Failed
2238,1/29/2014,2/12/2014,Arts & Creative,USD,600,Success
2239,4-Mar-18,,Business,U.S. Dollar,5000,Failed
2240,26-Jul-13,,Alumni & Clubs,U.S. Dollar,2000,Failed
2241,2/19/2014,3/19/2014,Food,USD,25000,Success
2242,2/18/2014,4/18/2014,Film & Video,USD,25000,Failed
2243,2/25/2014,4/3/2014,Design,CAD,20000,Failed
2244,2/27/2014,3/29/2014,Music,USD,4000,Success
2245,2/18/2014,3/28/2014,Arts & Creative,USD,2200,Success
2246,1/3/2014,1/31/2014,Arts & Creative,USD,8000,Failed
2247,5/14/2014,6/14/2014,Film & Video,USD,3000,Success
2248,4/3/2014,5/8/2014,Film & Video,GBP,3000,Success
2249,1/9/2014,2/8/2014,Design,USD,500,Success
2250,2/14/2014,3/16/2014,Food,CAD,4000,Success
2251,1/16/2014,2/15/2014,Film & Video,GBP,1500,Success
2252,1/2/2014,2/3/2014,Publishing,USD,8000,Success
2253,4/6/2014,5/6/2014,Food,USD,15000,Failed
2254,12/18/2013,1/27/2014,Film & Video,GBP,2500,Failed
2255,4/10/2014,5/10/2014,Food,USD,15000,Success
2256,1/30/2014,3/1/2014,Games,CAD,100,Success
2257,3/28/2014,4/21/2014,Film & Video,USD,2500,Success
2258,1/29/2014,2/19/2014,Publishing,USD,1230,Success
2259,1/17/2014,2/23/2014,Games,USD,10000,Failed
